,koaid,instrument,targname,koaimtyp,frameno,ra,dec,date_obs,ut,elaptime,semid,proginst,progpi,progtitl,fileurl
163579,DE.20180818.41257.fits,DEIMOS,SN 2017gas,object,159,304.2972500000001,58.202279999999995,2018-08-18,11:27:37.53,600.0,2018B_NW254,NW,A.Miller,The NU-Keck Environments of Extreme Transients Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20180818/lev0/DE.20180818.41257.fits
163580,DE.20180818.41927.fits,DEIMOS,SN 2017gas,object,160,304.2972500000001,58.202279999999995,2018-08-18,11:38:47.67,600.0,2018B_NW254,NW,A.Miller,The NU-Keck Environments of Extreme Transients Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20180818/lev0/DE.20180818.41927.fits
157902,DE.20171116.15134.fits,DEIMOS,sn2017hcc,object,29,0.9607500000000002,-11.474669999999998,2017-11-16,04:12:14.83,90.0,2017B_U141,UCB,Filippenko,Type IIP/L Supernovae as Probes of Cosmology,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20171116/lev0/DE.20171116.15134.fits
157903,DE.20171116.15305.fits,DEIMOS,sn2017hcc,object,30,0.9607500000000002,-11.474669999999998,2017-11-16,04:15:05.17,90.0,2017B_U141,UCB,Filippenko,Type IIP/L Supernovae as Probes of Cosmology,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20171116/lev0/DE.20171116.15305.fits
157742,DE.20171113.17651.fits,DEIMOS,SN2008S,object,60,308.68887000000007,60.099559999999975,2017-11-13,04:54:11.39,30.0,2017B_C433,CIT,Blagorodnova,Studying the remnants of stellar mergers with DEIMOS,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20171113/lev0/DE.20171113.17651.fits
157743,DE.20171113.18010.fits,DEIMOS,SN2008S,object,61,308.68887000000007,60.099559999999975,2017-11-13,05:00:10.94,600.0,2017B_C433,CIT,Blagorodnova,Studying the remnants of stellar mergers with DEIMOS,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20171113/lev0/DE.20171113.18010.fits
157744,DE.20171113.18729.fits,DEIMOS,SN2008S,object,62,308.68887000000007,60.099559999999975,2017-11-13,05:12:09.53,600.0,2017B_C433,CIT,Blagorodnova,Studying the remnants of stellar mergers with DEIMOS,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20171113/lev0/DE.20171113.18729.fits
157745,DE.20171113.19421.fits,DEIMOS,SN2008S,object,63,308.68887000000007,60.099559999999975,2017-11-13,05:23:41.60,30.0,2017B_C433,CIT,Blagorodnova,Studying the remnants of stellar mergers with DEIMOS,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20171113/lev0/DE.20171113.19421.fits
157746,DE.20171113.19529.fits,DEIMOS,SN2008S,object,64,308.68887000000007,60.099559999999975,2017-11-13,05:25:29.72,281.0,2017B_C433,CIT,Blagorodnova,Studying the remnants of stellar mergers with DEIMOS,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata29/DEIMOS/20171113/lev0/DE.20171113.19529.fits
154878,DE.20170818.54339.fits,DEIMOS,SN2017eni,object,113,46.29491999999999,-45.55096999999999,2017-08-18,15:05:39.25,180.0,2017B_U105,UCB,Mauerhan,Constraining Pre-Supernova Mass Loss: Spectroscopy of Circumstellar Gas Overtaken by the Blast Wave,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata20/DEIMOS/20170818/lev0/DE.20170818.54339.fits
154879,DE.20170818.54592.fits,DEIMOS,SN2017eni,object,114,46.29491999999999,-45.55096999999999,2017-08-18,15:09:52.60,180.0,2017B_U105,UCB,Mauerhan,Constraining Pre-Supernova Mass Loss: Spectroscopy of Circumstellar Gas Overtaken by the Blast Wave,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata20/DEIMOS/20170818/lev0/DE.20170818.54592.fits
