file,header,GRATENAM
./rawdata/DE.20171116.09169.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.17065.fits,SN2017eaw,600ZD
./rawdata/DE.20171116.08369.fits,ArKrXeCdNeZnHg,600ZD
./rawdata/DE.20171116.06530.fits,Focus loop R dome,Mirror
./rawdata/DE.20171116.20137.fits,DES17S1bxt,600ZD
./rawdata/DE.20171116.16639.fits,SN2017glx,600ZD
./rawdata/DE.20171116.07855.fits,CdZnHg_600,600ZD
./rawdata/DE.20171116.24909.fits,DES17S1bxt,600ZD
./rawdata/DE.20171116.19076.fits,SN2017hta,600ZD
./rawdata/DE.20171116.08606.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.19742.fits,DES17S1bxt_offsetstar4,600ZD
./rawdata/DE.20171116.07716.fits,CdZnHg_600,600ZD
./rawdata/DE.20171116.08877.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.09315.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.18206.fits,SN2017hta,600ZD
./rawdata/DE.20171116.06424.fits,Focus loop R dome,Mirror
./rawdata/DE.20171116.18987.fits,SN2017hta,600ZD
./rawdata/DE.20171116.16059.fits,SN2017fgc,600ZD
./rawdata/DE.20171116.08456.fits,ArKrXeCdNeZnHg,600ZD
./rawdata/DE.20171116.06624.fits,Focus loop R dome,Mirror
./rawdata/DE.20171116.08071.fits,CdZnHg_600,600ZD
./rawdata/DE.20171116.08732.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.21763.fits,DES17S1bxt,600ZD
./rawdata/DE.20171116.06719.fits,Focus loop R dome,Mirror
./rawdata/DE.20171116.17372.fits,SN2017hle,600ZD
./rawdata/DE.20171116.14876.fits,BD174708,600ZD
./rawdata/DE.20171116.08951.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.08286.fits,ArKrXeCdNeZnHg,600ZD
./rawdata/DE.20171116.06671.fits,Focus loop R dome,Mirror
./rawdata/DE.20171116.08157.fits,CdZnHg_600,600ZD
./rawdata/DE.20171116.23339.fits,DES17S1bxt,600ZD
./rawdata/DE.20171116.15134.fits,SN2017hcc,600ZD
./rawdata/DE.20171116.07980.fits,CdZnHg_600,600ZD
./rawdata/DE.20171116.06578.fits,Focus loop R dome,Mirror
./rawdata/DE.20171116.17745.fits,SN2017hle,600ZD
./rawdata/DE.20171116.09023.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.09388.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.15305.fits,SN2017hcc,600ZD
./rawdata/DE.20171116.06483.fits,Focus loop R dome,Mirror
./rawdata/DE.20171116.09243.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.09097.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.08805.fits,Qzflat_600,600ZD
./rawdata/DE.20171116.15671.fits,SN2017fgc,600ZD
