"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"45547","SN 2019qyl","00:54:57.680","-37:38:40.01","SN IIn","0.00048","NGC0300","","DLT40, ATLAS","DLT40","ATLAS; DLT40","DLT19m","Other - Other, ATLAS1 - ACAM1","Gemini-S - GMOS-S","1","1","","17.072","Clear-","2019-09-26 05:29:49","DLT40_bot1","",""
"43273","SN 2019npx","20:32:52.075","-12:51:00.17","SN IIn","0.057","","","ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1; ZTF","ZTF19abpvbzf","P48 - ZTF-Cam, ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.62","g-ZTF","2019-08-16 06:04:16","ZTF_AMPEL_NEW","",""
"42559","SN 2019mom","01:55:36.528","+53:35:30.82","SN IIn","0.0488","","","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19ablojrw","P48 - ZTF-Cam, ATLAS1 - ACAM1","P200 - DBSP","1","1","","20.56","r-ZTF","2019-07-29 11:49:55","ZTF_Bot1","",""
"42238","SN 2019mce","15:02:36.070","+05:09:22.97","SN IIn","0.072","","","ATLAS, GaiaAlerts, ZTF","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS19qsu","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.518","cyan-ATLAS","2019-07-30 07:33:36","ATLAS_Bot1","",""
"42026","SN 2019lub","20:23:00.754","-49:31:14.95","SN IIn","0.066","","","ATLAS","ePESSTO+","ATLAS","ATLAS19pvd","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.801","orange-ATLAS","2019-07-25 09:34:33","ATLAS_Bot1","",""
"41774","SN 2019lkr","16:05:07.980","+73:35:03.95","SN IIn","0.03","","","ZTF, ATLAS, GaiaAlerts","TCD, ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19abgndlf","P48 - ZTF-Cam, ATLAS1 - ACAM1, Gaia - Gaia-photometric","LT - SPRAT, P60 - SEDM","1","1","","18.78","g-ZTF","2019-07-16 04:46:36","ZTF_AMPEL_NEW","","TESS-Sector14"
"41338","SN 2019kud","14:44:29.730","+33:59:10.03","SN IIn","0.032412","","","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS19orj","ATLAS1 - ACAM1, P48 - ZTF-Cam, Gaia - Gaia-photometric","P60 - SEDM","1","1","","18.977","orange-ATLAS","2019-07-07 08:34:04","ATLAS_Bot1","",""
"41276","SN 2019krt","16:52:54.760","+20:43:03.54","SN IIn","0.03","","","ZTF, Pan-STARRS1, GaiaAlerts","ZTF","GaiaAlerts; Pan-STARRS1; ZTF","ZTF19abdviwl","P48 - ZTF-Cam, PS1 - GPC1, Gaia - Gaia-photometric","P60 - SEDM","1","1","","19.05","r-ZTF","2019-07-05 07:34:29","ZTF_AMPEL_NEW","",""
"40933","SN 2019kep","01:10:20.430","-09:34:29.06","SN IIn","0.02388","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS19oil","ATLAS1 - ACAM1, P48 - ZTF-Cam, Gaia - Gaia-photometric, PS1 - GPC1","P200 - DBSP","1","1","","18.049","cyan-ATLAS","2019-07-02 14:13:55","ATLAS_Bot1","",""
"40779","SN 2019jys","00:15:25.650","-14:15:13.73","SN IIn","0.083","","","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19abcejfo","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.11","r-ZTF","2019-06-28 10:36:32","ZTF_AMPEL_COMPLETE","",""
