object,ra,dec
SN 2019qyl,00:54:57.680,-37:38:40.01
SN 2019npx,20:32:52.075,-12:51:00.17
SN 2019mom,01:55:36.528,+53:35:30.82
SN 2019mce,15:02:36.070,+05:09:22.97
SN 2019lub,20:23:00.754,-49:31:14.95
SN 2019lkr,16:05:07.980,+73:35:03.95
SN 2019kud,14:44:29.730,+33:59:10.03
SN 2019krt,16:52:54.760,+20:43:03.54
SN 2019kep,01:10:20.430,-09:34:29.06
SN 2019jys,00:15:25.650,-14:15:13.73
SN 2019ifr,21:59:18.542,-06:59:37.80
SN 2019iay,13:21:04.940,+08:10:06.62
SN 2019gvy,09:28:17.010,+26:19:36.44
SN 2019gjs,14:58:57.170,+20:03:10.62
SN 2019fcg,21:30:28.510,-32:36:44.28
SN 2019esa,07:55:00.950,-76:24:43.06
SN 2019ekv,16:20:21.569,-14:04:05.11
SN 2019ejp,14:08:28.588,+29:16:11.10
SN 2019dzw,17:31:09.957,-08:27:02.60
SN 2019dvv,12:23:17.770,+19:43:23.27
SN 2019dnz,19:48:31.477,+02:54:49.50
SN 2019dde,14:28:12.040,-01:36:14.99
SN 2019ctt,10:00:42.285,+12:02:23.34
SN 2019cqw,09:06:16.335,+67:30:50.08
SN 2019cbc,18:06:09.172,+65:20:46.91
SN 2019cac,13:50:43.901,-02:30:25.01
SN 2019bzq,14:01:38.386,+14:24:54.97
SN 2019bxq,16:57:58.508,+78:36:13.58
SN 2019bwb,10:48:26.400,-45:41:31.20
SN 2019alr,23:40:07.160,+16:29:04.31
SN 2019rz,06:50:25.817,+43:03:11.58
SN 2019qt,14:59:10.650,+43:49:11.68
SN 2019lr,08:12:34.850,-20:27:38.46
SN 2019el,00:02:56.707,+32:32:52.13
SN 2018lmy,18:24:27.780,+46:37:09.52
SN 2018leh,04:05:03.306,+25:15:42.93
SN 2018kyv,13:01:04.970,+26:21:03.85
SN 2018khn,08:56:18.004,+52:32:57.92
SN 2018khh,22:03:15.990,-55:58:36.44
SN 2018kag,08:55:48.476,+03:38:29.51
SN 2018jdo,02:17:48.710,+35:48:29.14
SN 2018ihm,18:44:14.010,+32:07:39.00
SN 2018hzn,10:10:27.840,+15:21:50.83
SN 2018hse,03:50:06.280,-11:00:12.28
SN 2018hsb,01:18:00.213,+02:03:27.65
SN 2018hpb,22:01:34.510,-17:27:45.18
SN 2018hfg,08:52:56.190,+42:24:46.48
SN 2018gwa,07:20:16.740,+41:20:47.87
SN 2018gkf,07:53:11.880,+23:39:06.23
SN 2018gfx,02:33:11.524,-01:18:20.41
SN 2018gea,00:56:20.696,-09:34:59.94
SN 2018fdt,17:04:44.330,+38:14:08.02
SN 2018eru,12:20:27.807,+41:47:34.41
SN 2018dyv,19:43:17.290,-54:34:14.38
SN 2018cvk,19:55:32.000,-49:53:11.54
SN 2018ctj,14:31:14.968,+17:11:34.79
SN 2018cnv,22:49:27.991,-24:23:00.49
SN 2018cnf,23:39:31.269,-03:08:55.25
SN 2018civ,15:31:14.040,+16:53:33.72
SN 2018cih,12:32:29.340,+04:53:20.22
SN 2018bwr,15:28:26.170,+08:48:22.14
SN 2018bwa,19:19:34.718,+44:02:02.22
SN 2018bih,18:30:43.850,+42:21:44.35
SN 2018bga,14:56:20.238,+21:03:44.65
SN 2018awp,00:16:14.090,-31:37:02.86
SN 2018atq,11:47:04.098,+19:33:04.29
SN 2018aqn,13:33:52.560,-37:43:58.91
SN 2017jfs,12:29:37.790,+07:49:35.18
SN 2017ijn,09:41:30.920,-11:11:58.20
SN 2017hcd,01:42:51.850,+31:28:56.57
SN 2017hcc,00:03:50.590,-11:28:28.60
SN 2017gvb,08:04:42.380,+61:31:38.53
SN 2017gra,03:17:31.690,-35:09:07.49
SN 2017gir,01:39:44.860,-23:15:17.17
SN 2017ghw,23:57:34.754,+02:05:11.18
SN 2017ggv,22:54:28.720,-13:31:51.02
SN 2017gas,20:17:11.360,+58:12:08.10
SN 2017fck,05:19:54.370,-56:11:08.48
SN 2017fav,14:32:06.157,+21:49:58.69
SN 2017eni,03:05:10.780,-45:33:03.49
SN 2017dwq,09:03:32.491,-21:20:02.99
SN 2017djq,13:11:33.070,-19:09:22.75
SN 2017cqg,13:27:55.318,-13:24:46.53
SN 2017cin,16:14:00.660,+26:54:58.54
SN 2017cik,07:54:13.060,+21:47:35.84
SN 2017bzm,13:15:04.159,-24:48:05.48
SN 2017ben,09:18:48.420,-12:15:32.51
SN 2017bca,10:53:24.682,+28:51:27.19
